cloa	ciudad
0100	Caracas
0101	Caucagua
0102	Santa Lucia
0103	Vargas
0104	San Antonio de los Altos
0105	Cupira
0200	Barcelona
0201	El Tigre
0203	Anaco
0300	San Fernando de Apure
0302	Guasdualito
0303	Elorza
0304	Achaguas
0400	Maracay
0401	Villa de Cura
0500	Barinas
0600	Ciudad Bolivar
0602	Guasipati
0604	Caicara del Orinoco
0605	Santa Elena de Uairén
0700	Naguanagua
0701	Puerto Cabello
0800	San Carlos
0900	Coro
0901	Punto Fijo
0902	Churuguara
0903	Capatarida
1000	San Juan de los Morros
1001	Valle de la Pascua
1002	Altagracia
1003	Calabozo
1004	Zaraza
1006	Las Mercedes del Llano
1100	Barquisimeto
1101	Carora
1102	Tocuyo
1200	Merida
1201	Tovar
1202	Timotes
1203	Canagua
1204	Nueva Bolivia
1400	Maturín
1401	Punta de Mata
1402	Caripe
1403	Temblador
1404	Caripito
1500	La Asunción
1600	Araure
1601	Guanare
1602	Biscucuy
1603	Turen
1700	Cumana
1701	Carupano
1702	Araya
1703	Cumanacoa
1704	Güiria
1705	Cariaco
1706	Rio Caribe
1800	San Cristobal
1802	Coloncito
1900	Trujillo
1901	Bocono
1902	Valera
2000	San Felipe
2100	Maracaibo
2101	Santa Barbara del Zulia
2200	Tucupita
2300	Puerto Ayacucho
